Time(min),temp
1,20
2,19.99
3,19.98
4,19.97
5,19.96
6,19.95
7,19.94
8,19.93
9,19.92
10,19.91
11,19.9
12,19.89
13,19.88
14,19.87
15,19.86
16,19.85
17,19.84
18,19.83
19,19.82
20,19.81
21,19.8
22,19.79
23,19.78
24,19.77
25,19.76
26,19.75
27,19.74
28,19.73
29,19.72
30,19.71
31,19.7
32,19.69
33,19.68
34,19.67
35,19.66
36,19.65
37,19.64
38,19.63
39,19.62
40,19.61
41,19.6
42,19.59
43,19.58
44,19.57
45,19.56
46,19.55
47,19.54
48,19.53
49,19.52
50,19.51
51,19.5
52,19.49
53,19.48
54,19.47
55,19.46
56,19.45
57,19.44
58,19.43
59,19.42
60,19.41
61,19.4
62,19.39166667
63,19.38333333
64,19.375
65,19.36666667
66,19.35833333
67,19.35
68,19.34166667
69,19.33333333
70,19.325
71,19.31666667
72,19.30833333
73,19.3
74,19.29166667
75,19.28333333
76,19.275
77,19.26666667
78,19.25833333
79,19.25
80,19.24166667
81,19.23333333
82,19.225
83,19.21666667
84,19.20833333
85,19.2
86,19.19166667
87,19.18333333
88,19.175
89,19.16666667
90,19.15833333
91,19.15
92,19.14166667
93,19.13333333
94,19.125
95,19.11666667
96,19.10833333
97,19.1
98,19.09166667
99,19.08333333
100,19.075
101,19.06666667
102,19.05833333
103,19.05
104,19.04166667
105,19.03333333
106,19.025
107,19.01666667
108,19.00833333
109,19
110,18.99166667
111,18.98333333
112,18.975
113,18.96666667
114,18.95833333
115,18.95
116,18.94166667
117,18.93333333
118,18.925
119,18.91666667
120,18.90833333
121,18.9
122,18.89
123,18.88
124,18.87
125,18.86
126,18.85
127,18.84
128,18.83
129,18.82
130,18.81
131,18.8
132,18.79
133,18.78
134,18.77
135,18.76
136,18.75
137,18.74
138,18.73
139,18.72
140,18.71
141,18.7
142,18.69
143,18.68
144,18.67
145,18.66
146,18.65
147,18.64
148,18.63
149,18.62
150,18.61
151,18.6
152,18.59
153,18.58
154,18.57
155,18.56
156,18.55
157,18.54
158,18.53
159,18.52
160,18.51
161,18.5
162,18.49
163,18.48
164,18.47
165,18.46
166,18.45
167,18.44
168,18.43
169,18.42
170,18.41
171,18.4
172,18.39
173,18.38
174,18.37
175,18.36
176,18.35
177,18.34
178,18.33
179,18.32
180,18.31
181,18.3
182,18.29166667
183,18.28333333
184,18.275
185,18.26666667
186,18.25833333
187,18.25
188,18.24166667
189,18.23333333
190,18.225
191,18.21666667
192,18.20833333
193,18.2
194,18.19166667
195,18.18333333
196,18.175
197,18.16666667
198,18.15833333
199,18.15
200,18.14166667
201,18.13333333
202,18.125
203,18.11666667
204,18.10833333
205,18.1
206,18.09166667
207,18.08333333
208,18.075
209,18.06666667
210,18.05833333
211,18.05
212,18.04166667
213,18.03333333
214,18.025
215,18.01666667
216,18.00833333
217,18
218,17.99166667
219,17.98333333
220,17.975
221,17.96666667
222,17.95833333
223,17.95
224,17.94166667
225,17.93333333
226,17.925
227,17.91666667
228,17.90833333
229,17.9
230,17.89166667
231,17.88333333
232,17.875
233,17.86666667
234,17.85833333
235,17.85
236,17.84166667
237,17.83333333
238,17.825
239,17.81666667
240,17.80833333
241,17.8
242,17.80833333
243,17.81666667
244,17.825
245,17.83333333
246,17.84166667
247,17.85
248,17.85833333
249,17.86666667
250,17.875
251,17.88333333
252,17.89166667
253,17.9
254,17.90833333
255,17.91666667
256,17.925
257,17.93333333
258,17.94166667
259,17.95
260,17.95833333
261,17.96666667
262,17.975
263,17.98333333
264,17.99166667
265,18
266,18.00833333
267,18.01666667
268,18.025
269,18.03333333
270,18.04166667
271,18.05
272,18.05833333
273,18.06666667
274,18.075
275,18.08333333
276,18.09166667
277,18.1
278,18.10833333
279,18.11666667
280,18.125
281,18.13333333
282,18.14166667
283,18.15
284,18.15833333
285,18.16666667
286,18.175
287,18.18333333
288,18.19166667
289,18.2
290,18.20833333
291,18.21666667
292,18.225
293,18.23333333
294,18.24166667
295,18.25
296,18.25833333
297,18.26666667
298,18.275
299,18.28333333
300,18.29166667
301,18.3
302,18.31833333
303,18.33666667
304,18.355
305,18.37333333
306,18.39166667
307,18.41
308,18.42833333
309,18.44666667
310,18.465
311,18.48333333
312,18.50166667
313,18.52
314,18.53833333
315,18.55666667
316,18.575
317,18.59333333
318,18.61166667
319,18.63
320,18.64833333
321,18.66666667
322,18.685
323,18.70333333
324,18.72166667
325,18.74
326,18.75833333
