T_heat_setpoint,T_cool_setpoint,OAT (Kelvin),OAT (deg C)
15,20,293.2233333,20.07333333
15,20,293.2966667,20.14666667
15,20,293.37,20.22
15,20,293.4433333,20.29333333
15,20,293.5166667,20.36666667
15,20,293.59,20.44
15,20,293.6633333,20.51333333
15,20,293.7366667,20.58666667
15,20,293.81,20.66
15,20,293.8833333,20.73333333
15,20,293.9566667,20.80666667
15,20,294.03,20.88
15,20,294.1033333,20.95333333
15,20,294.1766667,21.02666667
15,20,294.25,21.1
15,20,294.3233333,21.17333333
15,20,294.3966667,21.24666667
15,20,294.47,21.32
15,20,294.5433333,21.39333333
15,20,294.6166667,21.46666667
15,20,294.69,21.54
15,20,294.7633333,21.61333333
15,20,294.8366667,21.68666667
15,20,294.91,21.76
15,20,294.9833333,21.83333333
15,20,295.0566667,21.90666667
15,20,295.13,21.98
15,20,295.2033333,22.05333333
15,20,295.2766667,22.12666667
15,20,295.35,22.2
15,20,295.4233333,22.27333333
15,20,295.4966667,22.34666667
15,20,295.57,22.42
15,20,295.6433333,22.49333333
15,20,295.7166667,22.56666667
15,20,295.79,22.64
15,20,295.8633333,22.71333333
15,20,295.9366667,22.78666667
15,20,296.01,22.86
15,20,296.0833333,22.93333333
15,20,296.1566667,23.00666667
15,20,296.23,23.08
15,20,296.3033333,23.15333333
15,20,296.3766667,23.22666667
15,20,296.45,23.3
15,20,296.5233333,23.37333333
15,20,296.5966667,23.44666667
15,20,296.67,23.52
15,20,296.7433333,23.59333333
15,20,296.8166667,23.66666667
15,20,296.89,23.74
15,20,296.9633333,23.81333333
15,20,297.0366667,23.88666667
15,20,297.11,23.96
15,20,297.1833333,24.03333333
15,20,297.2566667,24.10666667
15,20,297.33,24.18
15,20,297.4033333,24.25333333
15,20,297.4766667,24.32666667
15,20,297.55,24.4
15,20,297.5416667,24.39166667
15,20,297.5333333,24.38333333
15,20,297.525,24.375
15,20,297.5166667,24.36666667
15,20,297.5083333,24.35833333
15,20,297.5,24.35
15,20,297.4916667,24.34166667
15,20,297.4833333,24.33333333
15,20,297.475,24.325
15,20,297.4666667,24.31666667
15,20,297.4583333,24.30833333
15,20,297.45,24.3
15,20,297.4416667,24.29166667
15,20,297.4333333,24.28333333
15,20,297.425,24.275
15,20,297.4166667,24.26666667
15,20,297.4083333,24.25833333
15,20,297.4,24.25
15,20,297.3916667,24.24166667
15,20,297.3833333,24.23333333
15,20,297.375,24.225
15,20,297.3666667,24.21666667
15,20,297.3583333,24.20833333
15,20,297.35,24.2
15,20,297.3416667,24.19166667
15,20,297.3333333,24.18333333
15,20,297.325,24.175
15,20,297.3166667,24.16666667
15,20,297.3083333,24.15833333
15,20,297.3,24.15
15,20,297.2916667,24.14166667
15,20,297.2833333,24.13333333
15,20,297.275,24.125
15,20,297.2666667,24.11666667
15,20,297.2583333,24.10833333
15,20,297.25,24.1
15,20,297.2416667,24.09166667
15,20,297.2333333,24.08333333
15,20,297.225,24.075
15,20,297.2166667,24.06666667
15,20,297.2083333,24.05833333
15,20,297.2,24.05
15,20,297.1916667,24.04166667
15,20,297.1833333,24.03333333
15,20,297.175,24.025
15,20,297.1666667,24.01666667
15,20,297.1583333,24.00833333
15,20,297.15,24
15,20,297.1416667,23.99166667
15,20,297.1333333,23.98333333
15,20,297.125,23.975
